iter	Passed	Remaining
0	12	12126
1	21	10759
2	29	9969
3	39	9736
4	48	9553
5	56	9414
6	65	9282
7	73	9165
8	82	9075
9	91	9010
10	99	8979
11	107	8865
12	116	8848
13	125	8847
14	133	8786
15	142	8749
16	150	8687
17	159	8691
18	167	8670
19	176	8631
20	184	8597
21	193	8614
22	201	8561
23	210	8542
24	218	8516
25	226	8497
26	235	8490
27	244	8475
28	252	8462
29	261	8446
30	270	8440
31	278	8429
32	287	8415
33	295	8408
34	304	8400
35	313	8389
36	321	8378
37	330	8365
38	339	8360
39	348	8358
40	356	8333
41	365	8329
42	373	8322
43	382	8310
44	391	8305
45	400	8297
46	409	8296
47	417	8281
48	426	8271
49	434	8264
50	444	8272
51	453	8264
52	461	8254
53	470	8244
54	479	8232
55	486	8198
56	495	8189
57	503	8183
58	512	8180
59	521	8173
60	530	8162
61	539	8155
62	547	8145
63	556	8138
64	565	8130
65	574	8126
66	582	8116
67	591	8109
68	600	8103
69	609	8100
70	618	8087
71	627	8086
72	636	8081
73	645	8074
74	654	8066
75	663	8061
76	671	8053
77	680	8039
78	688	8031
79	696	8014
80	706	8011
81	715	8006
82	724	8000
83	733	7995
84	742	7989
85	750	7974
86	759	7968
87	768	7960
88	776	7949
89	785	7939
90	794	7931
91	802	7918
92	810	7902
93	818	7887
94	827	7878
95	835	7867
96	844	7859
97	852	7849
98	861	7840
99	870	7831
100	878	7821
101	887	7812
102	895	7802
103	904	7796
104	913	7787
105	922	7778
106	931	7771
107	939	7763
108	948	7754
109	957	7746
110	966	7737
111	974	7726
112	983	7718
113	991	7709
114	999	7691
115	1008	7682
116	1016	7670
117	1025	7662
118	1033	7652
119	1042	7643
120	1051	7637
121	1060	7629
122	1069	7622
123	1077	7613
124	1086	7606
125	1095	7601
126	1105	7598
127	1114	7595
128	1124	7594
129	1134	7590
130	1143	7583
131	1152	7580
132	1162	7576
133	1172	7576
134	1181	7572
135	1191	7568
136	1200	7562
137	1209	7555
138	1219	7556
139	1229	7552
140	1238	7544
141	1247	7538
142	1257	7533
143	1266	7527
144	1275	7521
145	1284	7513
146	1294	7509
147	1303	7504
148	1312	7498
149	1322	7493
150	1331	7487
151	1341	7481
152	1350	7478
153	1360	7473
154	1370	7469
155	1379	7464
156	1389	7460
157	1398	7452
158	1407	7446
159	1416	7438
160	1426	7431
161	1435	7425
162	1446	7430
163	1456	7427
164	1467	7424
165	1476	7416
166	1485	7409
167	1495	7403
168	1505	7401
169	1514	7395
170	1524	7390
171	1534	7385
172	1543	7380
173	1553	7374
174	1562	7367
175	1572	7361
176	1581	7355
177	1591	7348
178	1600	7342
179	1609	7334
180	1619	7327
181	1628	7317
182	1636	7306
183	1645	7296
184	1654	7287
185	1662	7273
186	1670	7263
187	1679	7253
188	1687	7242
189	1696	7232
190	1705	7223
191	1714	7213
192	1722	7204
193	1731	7193
194	1739	7182
195	1748	7174
196	1757	7164
197	1766	7156
198	1775	7145
199	1784	7136
200	1792	7125
201	1801	7116
202	1809	7106
203	1818	7096
204	1827	7088
205	1836	7079
206	1845	7070
207	1854	7061
208	1863	7052
209	1870	7037
210	1879	7027
211	1887	7017
212	1896	7008
213	1905	6999
214	1914	6990
215	1923	6980
216	1932	6971
217	1941	6963
218	1950	6954
219	1959	6946
220	1968	6938
221	1977	6928
222	1986	6919
223	1994	6909
224	2003	6901
225	2012	6891
226	2020	6880
