VIC_SEXO,VIC_EDAD,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,Departamento,ANIO
1.0,23.0,1.0,46.0,9.0,1.0,Retalhuleu,2016
2.0,38.0,2.0,10.0,2.0,2.0,Retalhuleu,2011
2.0,44.0,2.0,10.0,2.0,2.0,Alta Verapaz,2018
2.0,25.0,1.0,33.0,3.0,1.0,Quiché,2009
2.0,25.0,1.0,29.0,2.0,1.0,San Marcos,2013
2.0,28.0,1.0,49.0,2.0,1.0,Zacapa,2013
2.0,28.0,1.0,21.0,2.0,2.0,Baja Verapaz,2011
2.0,28.0,1.0,10.0,2.0,2.0,Quetzaltenango,2014
2.0,50.0,2.0,10.0,2.0,2.0,Quiché,2011
2.0,29.0,1.0,33.0,9.0,2.0,Suchitepéquez,2020
2.0,19.0,1.0,23.0,3.0,2.0,Alta Verapaz,2018
2.0,40.0,1.0,24.0,2.0,1.0,Jalapa,2013
2.0,42.0,1.0,29.0,3.0,1.0,Jutiapa,2012
2.0,38.0,1.0,46.0,2.0,2.0,Huehuetenango,2019
2.0,42.0,1.0,26.0,2.0,2.0,Suchitepéquez,2019
2.0,48.0,1.0,10.0,5.0,1.0,Santa Rosa,2015
1.0,21.0,1.0,46.0,2.0,2.0,Alta Verapaz,2019
2.0,45.0,1.0,24.0,2.0,1.0,Jalapa,2020
2.0,37.0,1.0,29.0,2.0,2.0,Guatemala,2013
2.0,20.0,2.0,10.0,1.0,1.0,Alta Verapaz,2010
2.0,26.0,1.0,31.0,2.0,2.0,Alta Verapaz,2010
2.0,25.0,1.0,29.0,9.0,6.0,San Marcos,2016
2.0,26.0,1.0,26.0,3.0,1.0,Chiquimula,2009
2.0,18.0,2.0,10.0,1.0,1.0,El Progreso,2012
2.0,36.0,1.0,22.0,3.0,2.0,San Marcos,2014
2.0,22.0,1.0,26.0,3.0,1.0,San Marcos,2010
1.0,24.0,1.0,46.0,2.0,1.0,Retalhuleu,2020
2.0,42.0,1.0,29.0,2.0,2.0,Guatemala,2019
2.0,24.0,1.0,39.0,2.0,1.0,Guatemala,2010
2.0,27.0,1.0,29.0,2.0,2.0,Huehuetenango,2012
2.0,36.0,1.0,10.0,1.0,1.0,Guatemala,2014
1.0,27.0,1.0,24.0,2.0,1.0,San Marcos,2012
2.0,23.0,2.0,10.0,5.0,2.0,Alta Verapaz,2019
2.0,28.0,1.0,39.0,1.0,1.0,Escuintla,2014
2.0,28.0,1.0,23.0,3.0,1.0,Petén,2015
2.0,26.0,1.0,45.0,9.0,1.0,Guatemala,2014
2.0,25.0,1.0,45.0,1.0,1.0,Quetzaltenango,2009
2.0,42.0,1.0,23.0,2.0,2.0,Alta Verapaz,2016
2.0,40.0,2.0,10.0,2.0,6.0,Quetzaltenango,2011
2.0,21.0,2.0,10.0,3.0,2.0,Quiché,2016
2.0,27.0,1.0,49.0,2.0,1.0,Guatemala,2014
2.0,37.0,1.0,23.0,1.0,2.0,San Marcos,2010
